Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01701","Beans, dry","1961","1961","hg/ha","4783","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01701","Beans, dry","1962","1962","hg/ha","4783","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01701","Beans, dry","1963","1963","hg/ha","4783","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01701","Beans, dry","1964","1964","hg/ha","4783","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01701","Beans, dry","1965","1965","hg/ha","4783","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01701","Beans, dry","1966","1966","hg/ha","4783","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01701","Beans, dry","1967","1967","hg/ha","4783","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01701","Beans, dry","1968","1968","hg/ha","4783","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01701","Beans, dry","1969","1969","hg/ha","5600","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01701","Beans, dry","1970","1970","hg/ha","5333","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01701","Beans, dry","1971","1971","hg/ha","5556","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01701","Beans, dry","1972","1972","hg/ha","5556","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01701","Beans, dry","1973","1973","hg/ha","4800","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01701","Beans, dry","1974","1974","hg/ha","5556","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01701","Beans, dry","1975","1975","hg/ha","5714","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01701","Beans, dry","1976","1976","hg/ha","5806","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01701","Beans, dry","1977","1977","hg/ha","5429","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01701","Beans, dry","1978","1978","hg/ha","5676","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01701","Beans, dry","1979","1979","hg/ha","5789","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01701","Beans, dry","1980","1980","hg/ha","5476","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01701","Beans, dry","1981","1981","hg/ha","5814","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01701","Beans, dry","1982","1982","hg/ha","6222","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01701","Beans, dry","1983","1983","hg/ha","5814","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01701","Beans, dry","1984","1984","hg/ha","6122","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01701","Beans, dry","1985","1985","hg/ha","6122","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01701","Beans, dry","1986","1986","hg/ha","6154","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01701","Beans, dry","1987","1987","hg/ha","6364","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01701","Beans, dry","1988","1988","hg/ha","6552","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01701","Beans, dry","1989","1989","hg/ha","6315","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01701","Beans, dry","1990","1990","hg/ha","8382","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01701","Beans, dry","1991","1991","hg/ha","6651","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01701","Beans, dry","1992","1992","hg/ha","7641","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01701","Beans, dry","1993","1993","hg/ha","6508","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01701","Beans, dry","1994","1994","hg/ha","4319","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01701","Beans, dry","1995","1995","hg/ha","5217","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01701","Beans, dry","1996","1996","hg/ha","3136","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01701","Beans, dry","1997","1997","hg/ha","3127","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01701","Beans, dry","1998","1998","hg/ha","3845","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01701","Beans, dry","1999","1999","hg/ha","4742","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01701","Beans, dry","2000","2000","hg/ha","4300","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01701","Beans, dry","2001","2001","hg/ha","3808","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01701","Beans, dry","2002","2002","hg/ha","5177","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01701","Beans, dry","2003","2003","hg/ha","4780","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01701","Beans, dry","2004","2004","hg/ha","3526","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01701","Beans, dry","2005","2005","hg/ha","3696","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01701","Beans, dry","2006","2006","hg/ha","5343","E","Estimated value"
