Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GV","Drained organic soils","404","Kenya","7230","Emissions (N2O)","6727","Cropland organic soils","1990","1990","3050","FAO TIER 1","kilotonnes","0.0286","E","Estimated value",""
"GV","Drained organic soils","404","Kenya","7273","Emissions (CO2)","6727","Cropland organic soils","1990","1990","3050","FAO TIER 1","kilotonnes","71.9638","E","Estimated value",""
"GV","Drained organic soils","404","Kenya","7230","Emissions (N2O)","6727","Cropland organic soils","1991","1991","3050","FAO TIER 1","kilotonnes","0.0286","E","Estimated value",""
"GV","Drained organic soils","404","Kenya","7273","Emissions (CO2)","6727","Cropland organic soils","1991","1991","3050","FAO TIER 1","kilotonnes","71.9638","E","Estimated value",""
"GV","Drained organic soils","404","Kenya","7230","Emissions (N2O)","6727","Cropland organic soils","1992","1992","3050","FAO TIER 1","kilotonnes","0.0286","E","Estimated value",""
"GV","Drained organic soils","404","Kenya","7273","Emissions (CO2)","6727","Cropland organic soils","1992","1992","3050","FAO TIER 1","kilotonnes","71.9638","E","Estimated value",""
"GV","Drained organic soils","404","Kenya","7230","Emissions (N2O)","6727","Cropland organic soils","1993","1993","3050","FAO TIER 1","kilotonnes","0.0286","E","Estimated value",""
"GV","Drained organic soils","404","Kenya","7273","Emissions (CO2)","6727","Cropland organic soils","1993","1993","3050","FAO TIER 1","kilotonnes","71.9638","E","Estimated value",""
"GV","Drained organic soils","404","Kenya","7230","Emissions (N2O)","6727","Cropland organic soils","1994","1994","3050","FAO TIER 1","kilotonnes","0.0286","E","Estimated value",""
"GV","Drained organic soils","404","Kenya","7273","Emissions (CO2)","6727","Cropland organic soils","1994","1994","3050","FAO TIER 1","kilotonnes","71.9638","E","Estimated value",""
"GV","Drained organic soils","404","Kenya","7230","Emissions (N2O)","6727","Cropland organic soils","1995","1995","3050","FAO TIER 1","kilotonnes","0.0298","E","Estimated value",""
"GV","Drained organic soils","404","Kenya","7273","Emissions (CO2)","6727","Cropland organic soils","1995","1995","3050","FAO TIER 1","kilotonnes","75.4892","E","Estimated value",""
"GV","Drained organic soils","404","Kenya","7230","Emissions (N2O)","6727","Cropland organic soils","1996","1996","3050","FAO TIER 1","kilotonnes","0.0298","E","Estimated value",""
"GV","Drained organic soils","404","Kenya","7273","Emissions (CO2)","6727","Cropland organic soils","1996","1996","3050","FAO TIER 1","kilotonnes","75.4892","E","Estimated value",""
"GV","Drained organic soils","404","Kenya","7230","Emissions (N2O)","6727","Cropland organic soils","1997","1997","3050","FAO TIER 1","kilotonnes","0.0298","E","Estimated value",""
"GV","Drained organic soils","404","Kenya","7273","Emissions (CO2)","6727","Cropland organic soils","1997","1997","3050","FAO TIER 1","kilotonnes","75.4892","E","Estimated value",""
"GV","Drained organic soils","404","Kenya","7230","Emissions (N2O)","6727","Cropland organic soils","1998","1998","3050","FAO TIER 1","kilotonnes","0.0298","E","Estimated value",""
"GV","Drained organic soils","404","Kenya","7273","Emissions (CO2)","6727","Cropland organic soils","1998","1998","3050","FAO TIER 1","kilotonnes","75.4892","E","Estimated value",""
"GV","Drained organic soils","404","Kenya","7230","Emissions (N2O)","6727","Cropland organic soils","1999","1999","3050","FAO TIER 1","kilotonnes","0.0298","E","Estimated value",""
"GV","Drained organic soils","404","Kenya","7273","Emissions (CO2)","6727","Cropland organic soils","1999","1999","3050","FAO TIER 1","kilotonnes","75.4892","E","Estimated value",""
"GV","Drained organic soils","404","Kenya","7230","Emissions (N2O)","6727","Cropland organic soils","2000","2000","3050","FAO TIER 1","kilotonnes","0.0298","E","Estimated value",""
"GV","Drained organic soils","404","Kenya","7273","Emissions (CO2)","6727","Cropland organic soils","2000","2000","3050","FAO TIER 1","kilotonnes","75.4892","E","Estimated value",""
"GV","Drained organic soils","404","Kenya","7230","Emissions (N2O)","6727","Cropland organic soils","2001","2001","3050","FAO TIER 1","kilotonnes","0.0304","E","Estimated value",""
"GV","Drained organic soils","404","Kenya","7273","Emissions (CO2)","6727","Cropland organic soils","2001","2001","3050","FAO TIER 1","kilotonnes","77.2755","E","Estimated value",""
"GV","Drained organic soils","404","Kenya","7230","Emissions (N2O)","6727","Cropland organic soils","2002","2002","3050","FAO TIER 1","kilotonnes","0.0304","E","Estimated value",""
"GV","Drained organic soils","404","Kenya","7273","Emissions (CO2)","6727","Cropland organic soils","2002","2002","3050","FAO TIER 1","kilotonnes","77.2755","E","Estimated value",""
"GV","Drained organic soils","404","Kenya","7230","Emissions (N2O)","6727","Cropland organic soils","2003","2003","3050","FAO TIER 1","kilotonnes","0.0304","E","Estimated value",""
"GV","Drained organic soils","404","Kenya","7273","Emissions (CO2)","6727","Cropland organic soils","2003","2003","3050","FAO TIER 1","kilotonnes","77.2755","E","Estimated value",""
"GV","Drained organic soils","404","Kenya","7230","Emissions (N2O)","6727","Cropland organic soils","2004","2004","3050","FAO TIER 1","kilotonnes","0.0304","E","Estimated value",""
"GV","Drained organic soils","404","Kenya","7273","Emissions (CO2)","6727","Cropland organic soils","2004","2004","3050","FAO TIER 1","kilotonnes","77.2755","E","Estimated value",""
"GV","Drained organic soils","404","Kenya","7230","Emissions (N2O)","6727","Cropland organic soils","2005","2005","3050","FAO TIER 1","kilotonnes","0.0304","E","Estimated value",""
"GV","Drained organic soils","404","Kenya","7273","Emissions (CO2)","6727","Cropland organic soils","2005","2005","3050","FAO TIER 1","kilotonnes","77.2755","E","Estimated value",""
"GV","Drained organic soils","404","Kenya","7230","Emissions (N2O)","6727","Cropland organic soils","2006","2006","3050","FAO TIER 1","kilotonnes","0.0304","E","Estimated value",""
"GV","Drained organic soils","404","Kenya","7273","Emissions (CO2)","6727","Cropland organic soils","2006","2006","3050","FAO TIER 1","kilotonnes","77.2755","E","Estimated value",""
"GV","Drained organic soils","404","Kenya","7230","Emissions (N2O)","6727","Cropland organic soils","2007","2007","3050","FAO TIER 1","kilotonnes","0.0304","E","Estimated value",""
"GV","Drained organic soils","404","Kenya","7273","Emissions (CO2)","6727","Cropland organic soils","2007","2007","3050","FAO TIER 1","kilotonnes","77.2755","E","Estimated value",""
"GV","Drained organic soils","404","Kenya","7230","Emissions (N2O)","6727","Cropland organic soils","2008","2008","3050","FAO TIER 1","kilotonnes","0.0304","E","Estimated value",""
"GV","Drained organic soils","404","Kenya","7273","Emissions (CO2)","6727","Cropland organic soils","2008","2008","3050","FAO TIER 1","kilotonnes","77.2755","E","Estimated value",""
"GV","Drained organic soils","404","Kenya","7230","Emissions (N2O)","6727","Cropland organic soils","2009","2009","3050","FAO TIER 1","kilotonnes","0.0304","E","Estimated value",""
"GV","Drained organic soils","404","Kenya","7273","Emissions (CO2)","6727","Cropland organic soils","2009","2009","3050","FAO TIER 1","kilotonnes","77.2755","E","Estimated value",""
"GV","Drained organic soils","404","Kenya","7230","Emissions (N2O)","6727","Cropland organic soils","2010","2010","3050","FAO TIER 1","kilotonnes","0.0296","E","Estimated value",""
