Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EMN","Livestock Manure","404","Kenya","72381","Manure applied to soils (N content)","02121.01","Camels","1961","1961","kg","255040.1","E","Estimated value"
"EMN","Livestock Manure","404","Kenya","72381","Manure applied to soils (N content)","02121.01","Camels","1962","1962","kg","262326.96","E","Estimated value"
"EMN","Livestock Manure","404","Kenya","72381","Manure applied to soils (N content)","02121.01","Camels","1963","1963","kg","276900.68","E","Estimated value"
"EMN","Livestock Manure","404","Kenya","72381","Manure applied to soils (N content)","02121.01","Camels","1964","1964","kg","291474.4","E","Estimated value"
"EMN","Livestock Manure","404","Kenya","72381","Manure applied to soils (N content)","02121.01","Camels","1965","1965","kg","306048.12","E","Estimated value"
"EMN","Livestock Manure","404","Kenya","72381","Manure applied to soils (N content)","02121.01","Camels","1966","1966","kg","320621.84","E","Estimated value"
"EMN","Livestock Manure","404","Kenya","72381","Manure applied to soils (N content)","02121.01","Camels","1967","1967","kg","335195.56","E","Estimated value"
"EMN","Livestock Manure","404","Kenya","72381","Manure applied to soils (N content)","02121.01","Camels","1968","1968","kg","349769.28","E","Estimated value"
"EMN","Livestock Manure","404","Kenya","72381","Manure applied to soils (N content)","02121.01","Camels","1969","1969","kg","376001.976","E","Estimated value"
"EMN","Livestock Manure","404","Kenya","72381","Manure applied to soils (N content)","02121.01","Camels","1970","1970","kg","360699.57","E","Estimated value"
"EMN","Livestock Manure","404","Kenya","72381","Manure applied to soils (N content)","02121.01","Camels","1971","1971","kg","371629.86","E","Estimated value"
"EMN","Livestock Manure","404","Kenya","72381","Manure applied to soils (N content)","02121.01","Camels","1972","1972","kg","378916.72","E","Estimated value"
"EMN","Livestock Manure","404","Kenya","72381","Manure applied to soils (N content)","02121.01","Camels","1973","1973","kg","386203.58","E","Estimated value"
"EMN","Livestock Manure","404","Kenya","72381","Manure applied to soils (N content)","02121.01","Camels","1974","1974","kg","400777.3","E","Estimated value"
"EMN","Livestock Manure","404","Kenya","72381","Manure applied to soils (N content)","02121.01","Camels","1975","1975","kg","408064.16","E","Estimated value"
"EMN","Livestock Manure","404","Kenya","72381","Manure applied to soils (N content)","02121.01","Camels","1976","1976","kg","422637.88","E","Estimated value"
"EMN","Livestock Manure","404","Kenya","72381","Manure applied to soils (N content)","02121.01","Camels","1977","1977","kg","437211.6","E","Estimated value"
"EMN","Livestock Manure","404","Kenya","72381","Manure applied to soils (N content)","02121.01","Camels","1978","1978","kg","442312.402","E","Estimated value"
"EMN","Livestock Manure","404","Kenya","72381","Manure applied to soils (N content)","02121.01","Camels","1979","1979","kg","442676.745","E","Estimated value"
"EMN","Livestock Manure","404","Kenya","72381","Manure applied to soils (N content)","02121.01","Camels","1980","1980","kg","443041.088","E","Estimated value"
"EMN","Livestock Manure","404","Kenya","72381","Manure applied to soils (N content)","02121.01","Camels","1981","1981","kg","443405.431","E","Estimated value"
"EMN","Livestock Manure","404","Kenya","72381","Manure applied to soils (N content)","02121.01","Camels","1982","1982","kg","444498.46","E","Estimated value"
"EMN","Livestock Manure","404","Kenya","72381","Manure applied to soils (N content)","02121.01","Camels","1983","1983","kg","495506.48","E","Estimated value"
"EMN","Livestock Manure","404","Kenya","72381","Manure applied to soils (N content)","02121.01","Camels","1984","1984","kg","564294.4384","E","Estimated value"
"EMN","Livestock Manure","404","Kenya","72381","Manure applied to soils (N content)","02121.01","Camels","1985","1985","kg","575661.94","E","Estimated value"
"EMN","Livestock Manure","404","Kenya","72381","Manure applied to soils (N content)","02121.01","Camels","1986","1986","kg","590235.66","E","Estimated value"
"EMN","Livestock Manure","404","Kenya","72381","Manure applied to soils (N content)","02121.01","Camels","1987","1987","kg","575661.94","E","Estimated value"
"EMN","Livestock Manure","404","Kenya","72381","Manure applied to soils (N content)","02121.01","Camels","1988","1988","kg","582948.8","E","Estimated value"
"EMN","Livestock Manure","404","Kenya","72381","Manure applied to soils (N content)","02121.01","Camels","1989","1989","kg","604809.38","E","Estimated value"
"EMN","Livestock Manure","404","Kenya","72381","Manure applied to soils (N content)","02121.01","Camels","1990","1990","kg","619383.1","E","Estimated value"
"EMN","Livestock Manure","404","Kenya","72381","Manure applied to soils (N content)","02121.01","Camels","1991","1991","kg","582948.8","E","Estimated value"
