Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"ESB","Cropland Nutrient Budget","404","Kenya","7276","Cropland nitrogen per unit area","5061","Synthetic Fertilizers","1961","1961","kg/ha","0.8333","E","Estimated value"
"ESB","Cropland Nutrient Budget","404","Kenya","7276","Cropland nitrogen per unit area","5061","Synthetic Fertilizers","1962","1962","kg/ha","0.8963","E","Estimated value"
"ESB","Cropland Nutrient Budget","404","Kenya","7276","Cropland nitrogen per unit area","5061","Synthetic Fertilizers","1963","1963","kg/ha","1.8701","E","Estimated value"
"ESB","Cropland Nutrient Budget","404","Kenya","7276","Cropland nitrogen per unit area","5061","Synthetic Fertilizers","1964","1964","kg/ha","2.635","E","Estimated value"
"ESB","Cropland Nutrient Budget","404","Kenya","7276","Cropland nitrogen per unit area","5061","Synthetic Fertilizers","1965","1965","kg/ha","3.3163","E","Estimated value"
"ESB","Cropland Nutrient Budget","404","Kenya","7276","Cropland nitrogen per unit area","5061","Synthetic Fertilizers","1966","1966","kg/ha","3.0047","E","Estimated value"
"ESB","Cropland Nutrient Budget","404","Kenya","7276","Cropland nitrogen per unit area","5061","Synthetic Fertilizers","1967","1967","kg/ha","3.3079","E","Estimated value"
"ESB","Cropland Nutrient Budget","404","Kenya","7276","Cropland nitrogen per unit area","5061","Synthetic Fertilizers","1968","1968","kg/ha","2.7446","E","Estimated value"
"ESB","Cropland Nutrient Budget","404","Kenya","7276","Cropland nitrogen per unit area","5061","Synthetic Fertilizers","1969","1969","kg/ha","4.0609","E","Estimated value"
"ESB","Cropland Nutrient Budget","404","Kenya","7276","Cropland nitrogen per unit area","5061","Synthetic Fertilizers","1970","1970","kg/ha","5.5767","E","Estimated value"
"ESB","Cropland Nutrient Budget","404","Kenya","7276","Cropland nitrogen per unit area","5061","Synthetic Fertilizers","1971","1971","kg/ha","4.6835","E","Estimated value"
"ESB","Cropland Nutrient Budget","404","Kenya","7276","Cropland nitrogen per unit area","5061","Synthetic Fertilizers","1972","1972","kg/ha","5.2966","E","Estimated value"
"ESB","Cropland Nutrient Budget","404","Kenya","7276","Cropland nitrogen per unit area","5061","Synthetic Fertilizers","1973","1973","kg/ha","5.1351","E","Estimated value"
"ESB","Cropland Nutrient Budget","404","Kenya","7276","Cropland nitrogen per unit area","5061","Synthetic Fertilizers","1974","1974","kg/ha","4.8928","E","Estimated value"
"ESB","Cropland Nutrient Budget","404","Kenya","7276","Cropland nitrogen per unit area","5061","Synthetic Fertilizers","1975","1975","kg/ha","5.1243","E","Estimated value"
"ESB","Cropland Nutrient Budget","404","Kenya","7276","Cropland nitrogen per unit area","5061","Synthetic Fertilizers","1976","1976","kg/ha","5.2498","E","Estimated value"
"ESB","Cropland Nutrient Budget","404","Kenya","7276","Cropland nitrogen per unit area","5061","Synthetic Fertilizers","1977","1977","kg/ha","5.8977","E","Estimated value"
"ESB","Cropland Nutrient Budget","404","Kenya","7276","Cropland nitrogen per unit area","5061","Synthetic Fertilizers","1978","1978","kg/ha","5.9364","E","Estimated value"
"ESB","Cropland Nutrient Budget","404","Kenya","7276","Cropland nitrogen per unit area","5061","Synthetic Fertilizers","1979","1979","kg/ha","4.6963","E","Estimated value"
"ESB","Cropland Nutrient Budget","404","Kenya","7276","Cropland nitrogen per unit area","5061","Synthetic Fertilizers","1980","1980","kg/ha","5.771","E","Estimated value"
