Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EP","Pesticides indicators","404","Kenya","5159","Use per area of cropland","1357","Pesticides (total)","1990","1990","kg/ha","0.63","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5159","Use per area of cropland","1357","Pesticides (total)","1991","1991","kg/ha","0.62","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5159","Use per area of cropland","1357","Pesticides (total)","1992","1992","kg/ha","0.6","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5159","Use per area of cropland","1357","Pesticides (total)","1993","1993","kg/ha","0.63","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5159","Use per area of cropland","1357","Pesticides (total)","1994","1994","kg/ha","0.58","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5159","Use per area of cropland","1357","Pesticides (total)","1995","1995","kg/ha","0.78","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5159","Use per area of cropland","1357","Pesticides (total)","1996","1996","kg/ha","1.23","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5159","Use per area of cropland","1357","Pesticides (total)","1997","1997","kg/ha","0.98","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5159","Use per area of cropland","1357","Pesticides (total)","1998","1998","kg/ha","0.8","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5159","Use per area of cropland","1357","Pesticides (total)","1999","1999","kg/ha","0.55","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5159","Use per area of cropland","1357","Pesticides (total)","2000","2000","kg/ha","0.37","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5159","Use per area of cropland","1357","Pesticides (total)","2001","2001","kg/ha","0.28","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5159","Use per area of cropland","1357","Pesticides (total)","2002","2002","kg/ha","0.29","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5159","Use per area of cropland","1357","Pesticides (total)","2003","2003","kg/ha","0.28","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5159","Use per area of cropland","1357","Pesticides (total)","2004","2004","kg/ha","0.28","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5159","Use per area of cropland","1357","Pesticides (total)","2005","2005","kg/ha","0.28","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5159","Use per area of cropland","1357","Pesticides (total)","2006","2006","kg/ha","0.27","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5159","Use per area of cropland","1357","Pesticides (total)","2007","2007","kg/ha","0.27","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5159","Use per area of cropland","1357","Pesticides (total)","2008","2008","kg/ha","0.27","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5159","Use per area of cropland","1357","Pesticides (total)","2009","2009","kg/ha","0.26","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5159","Use per area of cropland","1357","Pesticides (total)","2010","2010","kg/ha","0.26","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5159","Use per area of cropland","1357","Pesticides (total)","2011","2011","kg/ha","0.25","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5159","Use per area of cropland","1357","Pesticides (total)","2012","2012","kg/ha","0.25","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5159","Use per area of cropland","1357","Pesticides (total)","2013","2013","kg/ha","0.25","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5159","Use per area of cropland","1357","Pesticides (total)","2014","2014","kg/ha","0.25","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5159","Use per area of cropland","1357","Pesticides (total)","2015","2015","kg/ha","0.25","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5159","Use per area of cropland","1357","Pesticides (total)","2016","2016","kg/ha","0.25","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5159","Use per area of cropland","1357","Pesticides (total)","2017","2017","kg/ha","0.25","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5159","Use per area of cropland","1357","Pesticides (total)","2018","2018","kg/ha","0.25","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5159","Use per area of cropland","1357","Pesticides (total)","2019","2019","kg/ha","0.25","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5159","Use per area of cropland","1357","Pesticides (total)","2020","2020","kg/ha","0.25","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5172","Use per capita","1357","Pesticides (total)","1990","1990","kg/cap","0.15","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5172","Use per capita","1357","Pesticides (total)","1991","1991","kg/cap","0.14","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5172","Use per capita","1357","Pesticides (total)","1992","1992","kg/cap","0.14","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5172","Use per capita","1357","Pesticides (total)","1993","1993","kg/cap","0.13","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5172","Use per capita","1357","Pesticides (total)","1994","1994","kg/cap","0.13","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5172","Use per capita","1357","Pesticides (total)","1995","1995","kg/cap","0.17","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5172","Use per capita","1357","Pesticides (total)","1996","1996","kg/cap","0.22","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5172","Use per capita","1357","Pesticides (total)","1997","1997","kg/cap","0.18","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5172","Use per capita","1357","Pesticides (total)","1998","1998","kg/cap","0.14","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5172","Use per capita","1357","Pesticides (total)","1999","1999","kg/cap","0.1","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5172","Use per capita","1357","Pesticides (total)","2000","2000","kg/cap","0.06","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5172","Use per capita","1357","Pesticides (total)","2001","2001","kg/cap","0.05","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5172","Use per capita","1357","Pesticides (total)","2002","2002","kg/cap","0.05","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5172","Use per capita","1357","Pesticides (total)","2003","2003","kg/cap","0.05","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5172","Use per capita","1357","Pesticides (total)","2004","2004","kg/cap","0.04","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5172","Use per capita","1357","Pesticides (total)","2005","2005","kg/cap","0.04","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5172","Use per capita","1357","Pesticides (total)","2006","2006","kg/cap","0.04","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5172","Use per capita","1357","Pesticides (total)","2007","2007","kg/cap","0.04","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5172","Use per capita","1357","Pesticides (total)","2008","2008","kg/cap","0.04","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5172","Use per capita","1357","Pesticides (total)","2009","2009","kg/cap","0.04","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5172","Use per capita","1357","Pesticides (total)","2010","2010","kg/cap","0.04","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5172","Use per capita","1357","Pesticides (total)","2011","2011","kg/cap","0.04","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5172","Use per capita","1357","Pesticides (total)","2012","2012","kg/cap","0.04","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5172","Use per capita","1357","Pesticides (total)","2013","2013","kg/cap","0.03","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5172","Use per capita","1357","Pesticides (total)","2014","2014","kg/cap","0.03","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5172","Use per capita","1357","Pesticides (total)","2015","2015","kg/cap","0.03","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5172","Use per capita","1357","Pesticides (total)","2016","2016","kg/cap","0.03","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5172","Use per capita","1357","Pesticides (total)","2017","2017","kg/cap","0.03","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5172","Use per capita","1357","Pesticides (total)","2018","2018","kg/cap","0.03","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5172","Use per capita","1357","Pesticides (total)","2019","2019","kg/cap","0.03","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5172","Use per capita","1357","Pesticides (total)","2020","2020","kg/cap","0.03","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5173","Use per value of agricultural production","1357","Pesticides (total)","1990","1990","kg/1000 Int.$","0.58","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5173","Use per value of agricultural production","1357","Pesticides (total)","1991","1991","kg/1000 Int.$","0.56","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5173","Use per value of agricultural production","1357","Pesticides (total)","1992","1992","kg/1000 Int.$","0.55","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5173","Use per value of agricultural production","1357","Pesticides (total)","1993","1993","kg/1000 Int.$","0.56","E","Estimated value"
