Variable:,pr
,Kenya,Central,Coast,Eastern,Nairobi,"North Eastern",Nyanza,"Rift Valley",Western
1901,663.78,968.07,765.69,639.79,841.38,482.37,1123.77,677.49,1160.94
1902,739.69,1157.12,834.69,672.14,976.85,484.46,1405.39,803.41,1567.67
1903,665.61,1128.04,554.06,567.36,877.99,378.18,1602.86,834.17,1744.96
1904,704.95,1069.12,934.78,652.60,835.32,432.23,1253.39,729.70,1335.61
1905,757.08,1185.96,916.37,710.23,959.29,500.12,1342.79,791.20,1373.82
1906,828.50,1282.42,1056.52,702.81,982.72,530.37,1611.05,893.39,1738.79
1907,645.86,1071.71,704.12,606.16,848.10,494.56,1089.83,662.34,1175.98
1908,686.38,1020.58,762.48,606.96,666.87,424.04,1359.23,780.19,1512.40
1909,708.92,1182.46,773.22,681.87,824.55,434.14,1326.37,773.07,1411.44
1910,593.94,889.89,621.28,552.28,705.77,408.42,1178.09,639.17,1320.22
1911,680.25,1140.63,787.20,641.34,872.00,412.62,1197.66,740.90,1346.64
1912,794.63,1419.91,728.84,807.80,1193.41,470.69,1411.06,902.95,1596.37
1913,684.18,1202.87,713.52,639.64,930.39,454.64,1234.21,750.91,1351.26
1914,709.63,1323.63,588.62,669.33,942.75,436.90,1474.69,833.70,1648.48
1915,720.00,1198.99,790.27,669.71,951.21,448.78,1429.15,784.05,1523.52
1916,779.25,1235.92,762.91,751.27,929.68,480.71,1564.11,875.40,1663.32
1917,789.98,1513.77,646.55,708.42,1074.41,448.62,1618.33,988.99,1831.54
1918,517.11,882.16,521.61,521.85,655.95,322.12,905.47,562.84,1026.11
1919,630.64,1219.27,634.66,529.05,876.67,330.40,1391.99,773.85,1502.12
1920,682.03,1072.81,714.76,628.00,909.22,388.87,1350.77,791.51,1509.52
1921,488.57,748.84,476.90,434.24,562.91,337.93,1097.77,537.72,1231.66
1922,629.27,1028.75,808.93,528.50,860.02,316.79,1365.48,717.02,1471.67
1923,828.02,1420.54,704.00,820.46,1136.48,531.67,1513.44,952.75,1726.87
1924,598.90,893.54,665.08,534.15,659.95,410.41,1158.54,647.73,1374.13
1925,646.17,911.14,671.62,584.01,743.38,452.62,1462.62,693.63,1444.30
1926,779.17,1363.73,694.43,742.24,984.50,508.85,1546.24,887.64,1638.69
1927,600.72,990.01,745.27,560.77,760.37,414.60,1013.52,612.53,1041.68
1928,590.68,966.69,686.50,510.97,707.42,337.27,1288.59,662.60,1451.55
1929,626.57,1151.45,738.73,574.60,809.26,399.23,1147.11,662.79,1285.50
1930,861.28,1478.11,836.22,869.18,1274.80,531.42,1451.74,965.41,1586.81
1931,653.40,1186.22,737.24,584.90,916.70,347.50,1349.93,746.25,1515.61
1932,704.83,1296.94,815.60,626.75,985.09,392.10,1385.95,795.28,1557.42
1933,542.27,929.38,624.18,486.48,664.42,352.50,1146.01,566.38,1330.08
1934,570.73,942.32,663.68,502.07,598.15,345.72,1169.05,628.94,1316.45
1935,697.83,1180.27,739.32,624.41,902.32,431.51,1345.26,795.55,1543.41
1936,789.96,1257.91,888.74,718.18,999.44,463.06,1425.73,908.22,1556.65
1937,842.20,1487.83,940.84,814.12,1296.53,523.32,1545.04,897.79,1605.11
1938,634.20,1031.25,756.96,555.60,737.21,332.13,1292.67,733.95,1389.39
1939,519.40,698.48,648.88,464.04,521.69,328.37,1120.35,544.38,1164.58
1940,733.89,1141.61,797.56,681.40,925.37,463.59,1457.96,803.63,1603.03
1941,802.81,1175.24,768.09,774.71,993.84,511.65,1576.04,909.86,1678.39
1942,662.10,1092.37,677.66,607.14,894.40,354.83,1287.68,795.59,1404.85
1943,552.34,890.00,575.46,537.44,584.09,265.76,1103.72,648.83,1274.07
1944,668.74,950.88,741.11,627.11,727.21,419.38,1416.07,722.47,1449.79
