Variable:,tas
,Kenya,Central,Coast,Eastern,Nairobi,"North Eastern",Nyanza,"Rift Valley",Western
1901,24.37,15.79,25.72,24.97,18.16,27.17,21.26,22.36,20.52
1902,24.55,16.01,26.03,25.14,18.43,27.32,21.47,22.51,20.67
1903,24.50,15.88,25.84,25.12,18.25,27.33,21.31,22.47,20.58
1904,23.87,15.30,25.29,24.45,17.72,26.68,20.72,21.85,19.94
1905,24.03,15.51,25.53,24.61,17.90,26.83,20.87,21.99,20.08
1906,23.74,15.07,25.09,24.36,17.46,26.62,20.41,21.70,19.68
1907,23.81,15.16,25.25,24.41,17.57,26.68,20.51,21.74,19.74
1908,24.45,15.84,25.86,25.07,18.22,27.30,21.22,22.40,20.49
1909,23.22,14.52,24.75,23.82,16.92,26.16,19.72,21.09,18.93
1910,23.31,14.43,24.55,23.99,16.75,26.35,19.65,21.23,18.96
1911,23.54,14.84,24.86,24.17,17.22,26.37,20.17,21.54,19.44
1912,23.13,14.58,24.86,23.69,17.09,25.99,19.85,20.98,18.96
1913,22.83,14.10,24.29,23.43,16.48,25.85,19.43,20.69,18.69
1914,23.26,14.59,24.71,23.84,16.99,26.20,19.94,21.16,19.20
1915,23.36,14.60,24.87,23.98,16.97,26.47,19.82,21.12,19.08
1916,22.91,14.08,24.41,23.53,16.45,26.10,19.30,20.63,18.56
1917,22.53,13.58,24.05,23.18,15.91,25.93,18.70,20.12,17.96
1918,22.77,13.95,24.25,23.38,16.32,25.94,19.19,20.51,18.45
1919,22.80,14.10,24.23,23.36,16.50,25.75,19.49,20.72,18.75
1920,22.77,14.06,24.20,23.33,16.47,25.73,19.46,20.68,18.71
1921,24.39,15.79,25.92,24.99,18.18,27.31,21.10,22.26,20.32
1922,24.45,15.77,26.02,25.08,18.13,27.54,20.96,22.19,20.18
1923,24.07,15.49,25.57,24.66,17.90,26.92,20.85,22.00,20.08
1924,24.96,16.14,26.55,25.58,18.49,28.38,21.28,22.51,20.51
1925,24.57,15.88,26.12,25.18,18.25,27.69,21.13,22.32,20.35
1926,24.74,16.20,26.27,25.33,18.61,27.54,21.56,22.66,20.78
1927,24.60,16.00,26.14,25.20,18.40,27.51,21.31,22.46,20.53
1928,24.96,16.34,26.53,25.57,18.72,27.99,21.59,22.74,20.81
1929,22.72,13.82,24.23,23.35,16.16,26.05,18.97,20.36,18.23
1930,22.89,14.08,24.39,23.51,16.45,26.05,19.32,20.64,18.57
1931,24.00,15.37,25.58,24.60,17.73,27.04,20.63,21.76,19.82
1932,23.32,14.76,24.85,23.88,17.18,26.17,20.16,21.25,19.37
1933,23.76,15.09,25.32,24.37,17.44,26.84,20.33,21.51,19.54
1934,23.77,15.08,25.31,24.39,17.43,26.84,20.34,21.54,19.55
1935,23.73,15.07,25.29,24.33,17.46,26.75,20.37,21.53,19.58
1936,23.58,14.92,25.14,24.19,17.28,26.64,20.19,21.36,19.39
1937,23.79,15.01,25.35,24.43,17.33,27.02,20.18,21.45,19.40
1938,23.80,15.16,25.34,24.40,17.52,26.79,20.45,21.62,19.65
1939,24.13,15.44,25.68,24.75,17.77,27.20,20.66,21.88,19.88
1940,24.49,15.89,26.03,25.06,18.31,27.49,21.18,22.32,20.41
1941,24.35,15.77,25.80,24.94,18.13,27.23,21.18,22.25,20.42
1942,24.29,15.66,25.71,24.89,18.00,27.24,21.00,22.19,20.28
1943,24.25,15.64,25.69,24.86,17.98,27.20,21.00,22.11,20.25
1944,24.50,15.88,25.99,25.10,18.23,27.51,21.17,22.33,20.41
1945,24.45,15.86,25.94,25.05,18.21,27.40,21.15,22.29,20.39
1946,24.45,15.83,25.97,25.07,18.22,27.42,21.07,22.27,20.29
1947,24.25,15.59,25.69,24.88,17.95,27.21,20.87,22.12,20.12
1948,24.25,15.67,25.83,24.83,18.08,27.20,20.98,22.08,20.17
1949,24.37,15.91,26.03,24.94,18.34,27.19,21.26,22.24,20.41
1950,23.92,15.32,25.55,24.52,17.72,26.86,20.60,21.73,19.79
1951,24.52,15.88,26.02,25.14,18.27,27.47,21.19,22.36,20.42
1952,24.92,16.32,26.49,25.55,18.71,27.83,21.56,22.76,20.78
1953,24.89,16.30,26.39,25.53,18.69,27.75,21.63,22.78,20.83
1954,24.66,16.05,26.20,25.29,18.46,27.55,21.35,22.52,20.56
1955,24.59,15.97,26.06,25.21,18.39,27.53,21.31,22.45,20.53
1956,24.12,15.57,25.72,24.70,18.00,27.05,20.91,21.95,20.10
1957,24.50,15.99,26.09,25.08,18.40,27.36,21.31,22.36,20.49
1958,24.74,16.20,26.30,25.33,18.62,27.55,21.57,22.66,20.79
1959,24.60,16.05,26.19,25.18,18.47,27.46,21.38,22.48,20.59
1960,24.42,15.89,25.94,25.01,18.30,27.22,21.28,22.36,20.51
1961,24.52,16.03,26.26,25.08,18.47,27.35,21.32,22.35,20.48
1962,24.25,15.68,25.90,24.84,18.08,27.22,20.94,22.04,20.15
1963,24.15,15.62,25.68,24.76,18.03,26.99,20.96,22.06,20.17
1964,24.05,15.55,25.60,24.64,17.96,26.82,20.91,21.98,20.11
1965,24.21,15.68,25.73,24.80,18.09,27.01,21.04,22.14,20.25
1966,24.46,15.96,26.07,25.04,18.37,27.26,21.32,22.36,20.51
1967,24.14,15.62,25.83,24.71,18.06,26.95,20.96,22.01,20.14
1968,23.69,15.07,25.24,24.27,17.50,26.53,20.47,21.59,19.71
1969,24.54,15.99,26.21,25.09,18.42,27.42,21.34,22.38,20.52
1970,24.56,16.00,26.12,25.14,18.38,27.50,21.29,22.41,20.51
1971,24.03,15.46,25.56,24.61,17.86,26.93,20.82,21.91,20.04
1972,24.62,16.11,26.16,25.22,18.50,27.46,21.38,22.50,20.59
1973,24.79,16.27,26.31,25.40,18.67,27.62,21.57,22.70,20.80
1974,24.34,15.84,25.97,24.92,18.24,27.18,21.15,22.22,20.36
1975,24.32,15.78,25.88,24.91,18.20,27.14,21.13,22.23,20.33
1976,24.61,16.08,26.12,25.21,18.51,27.45,21.41,22.51,20.61
1977,24.56,16.01,26.04,25.16,18.40,27.38,21.38,22.50,20.62
1978,24.43,15.85,25.93,25.02,18.25,27.30,21.23,22.34,20.44
1979,24.51,15.91,25.93,25.12,18.30,27.34,21.28,22.46,20.56
1980,24.73,16.14,26.14,25.35,18.54,27.56,21.50,22.69,20.75
1981,24.63,16.06,26.04,25.22,18.46,27.38,21.51,22.64,20.77
1982,24.56,16.01,25.98,25.15,18.40,27.30,21.47,22.58,20.70
1983,25.01,16.48,26.53,25.59,18.89,27.75,21.88,22.99,21.09
1984,24.53,15.99,25.89,25.12,18.41,27.28,21.43,22.56,20.67
1985,24.39,15.84,25.89,24.96,18.26,27.17,21.27,22.36,20.48
1986,24.61,16.04,26.08,25.19,18.42,27.40,21.44,22.58,20.69
